"tract_id","tract_name","blight_count","permits_res_count","permits_com_count","crime_count"
"22033004201","Census Tract 42.01",96,306,85,799
"22033002300","Census Tract 23",33,313,97,206
"22033001104","Census Tract 11.04",136,400,580,981
"22033000300","Census Tract 3",147,190,78,1073
"22033003809","Census Tract 38.09",49,284,531,431
"22033004018","Census Tract 40.18",46,186,176,404
"22033003912","Census Tract 39.12",119,270,411,636
"22033003604","Census Tract 36.04",260,436,576,1112
"22033004900","Census Tract 49",31,396,98,185
"22033001900","Census Tract 19",30,394,229,312
"22033003505","Census Tract 35.05",131,602,237,1503
"22033000701","Census Tract 7.01",72,320,119,475
"22033002601","Census Tract 26.01",54,537,166,521
"22033003910","Census Tract 39.10",93,70,611,1481
"22033004019","Census Tract 40.19",24,520,128,370
"22033003807","Census Tract 38.07",3,260,330,676
"22033003806","Census Tract 38.06",50,167,581,908
"22033004507","Census Tract 45.07",54,402,127,826
"22033000100","Census Tract 1",56,225,70,367
"22033002500","Census Tract 25",230,330,94,575
"22033004029","Census Tract 40.29",103,181,58,848
"22033004028","Census Tract 40.28",187,202,223,1556
"22033005000","Census Tract 50",24,301,55,112
"22033003808","Census Tract 38.08",22,87,233,458
"22033980000","Census Tract 9800",0,1,40,1814
"22033002400","Census Tract 24",189,300,114,490
"22033003601","Census Tract 36.01",39,295,427,1423
"22033003506","Census Tract 35.06",177,712,491,739
"22033003603","Census Tract 36.03",63,188,129,391
"22033003504","Census Tract 35.04",232,670,78,2328
"22033004024","Census Tract 40.24",28,304,103,437
"22033003400","Census Tract 34",330,569,197,1571
"22033003702","Census Tract 37.02",131,243,177,353
"22033002200","Census Tract 22",206,252,45,234
"22033000200","Census Tract 2",266,872,277,2103
"22033001103","Census Tract 11.03",143,221,159,1089
"22033002000","Census Tract 20",29,301,489,842
"22033004402","Census Tract 44.02",5,6,4,1354
"22033005200","Census Tract 52",219,324,275,675
"22033004800","Census Tract 48",24,181,118,400
"22033003909","Census Tract 39.09",183,298,460,1511
"22033002801","Census Tract 28.01",13,40,85,295
"22033004511","Census Tract 45.11",29,287,402,1499
"22033004606","Census Tract 46.06",10,199,10,112
"22033004020","Census Tract 40.20",8,220,317,818
"22033004023","Census Tract 40.23",8,36,176,447
"22033004025","Census Tract 40.25",11,201,19,47
"22033003201","Census Tract 32.01",82,319,58,854
"22033004010","Census Tract 40.10",78,260,100,464
"22033002602","Census Tract 26.02",36,718,426,623
"22033004205","Census Tract 42.05",10,92,7,70
"22033003703","Census Tract 37.03",271,516,201,567
"22033001102","Census Tract 11.02",37,80,680,790
"22033004204","Census Tract 42.04",21,128,31,230
"22033003507","Census Tract 35.07",77,602,110,1440
"22033004504","Census Tract 45.04",53,496,259,1389
"22033003908","Census Tract 39.08",43,771,243,549
"22033004700","Census Tract 47",28,659,42,922
"22033002700","Census Tract 27",195,206,222,607
"22033004302","Census Tract 43.02",2,2,5,752
"22033004602","Census Tract 46.02",25,253,34,319
"22033003000","Census Tract 30",105,234,84,644
"22033004301","Census Tract 43.01",6,66,3,1243
"22033000601","Census Tract 6.01",136,463,102,658
"22033000900","Census Tract 9",341,632,128,1106
"22033002802","Census Tract 28.02",0,82,153,181
"22033003914","Census Tract 39.14",59,193,408,246
"22033003104","Census Tract 31.04",333,554,186,2997
"22033004022","Census Tract 40.22",17,192,1193,2294
"22033004026","Census Tract 40.26",6,1081,99,921
"22033004605","Census Tract 46.05",6,44,0,125
"22033003811","Census Tract 38.11",26,209,460,2312
"22033003913","Census Tract 39.13",33,177,154,747
"22033004514","Census Tract 45.14",15,170,8,144
"22033004031","Census Tract 40.31",46,974,264,1243
"22033004516","Census Tract 45.16",20,242,58,337
"22033000602","Census Tract 6.02",253,448,128,1101
"22033005100","Census Tract 51",196,331,479,877
"22033001600","Census Tract 16",151,499,230,858
"22033003202","Census Tract 32.02",86,335,24,638
"22033004030","Census Tract 40.30",142,785,116,1290
"22033004515","Census Tract 45.15",18,554,20,333
"22033004027","Census Tract 40.27",7,252,95,169
"22033001800","Census Tract 18",61,253,220,436
"22033004401","Census Tract 44.01",7,9,4,827
"22033004603","Census Tract 46.03",23,797,62,705
"22033000702","Census Tract 7.02",128,385,195,804
"22033003804","Census Tract 38.04",38,328,632,1287
"22033003701","Census Tract 37.01",123,445,282,645
"22033004203","Census Tract 42.03",77,102,59,338
"22033001700","Census Tract 17",132,625,466,983
"22033004021","Census Tract 40.21",79,215,290,957
"22033004017","Census Tract 40.17",56,474,133,357
"22033004513","Census Tract 45.13",22,642,55,324
"22033003911","Census Tract 39.11",71,174,47,335
"22033004503","Census Tract 45.03",150,772,240,1190
"22033003907","Census Tract 39.07",95,253,678,566
"22033003300","Census Tract 33",332,426,212,1397
"22033004403","Census Tract 44.03",15,85,0,761
"22033000400","Census Tract 4",162,413,91,886
"22033005300","Census Tract 53",268,478,272,1436
"22033004509","Census Tract 45.09",45,849,653,1541
"22033004013","Census Tract 40.13",34,190,262,705
"22033003501","Census Tract 35.01",60,393,103,1192
"22033001000","Census Tract 10",506,400,68,653
"22033000500","Census Tract 5",327,552,174,1252
"22033003810","Census Tract 38.10",54,312,218,511
"22033004512","Census Tract 45.12",35,323,112,456
